symbol
LML
LUMAXAUTO
MAARSOFTW
MALWACOTT
MANDUIND
MANJUSHREE
MANPASAND
MANSUKHIND
MARDIACHEM
MARDIASTL
MBIND
MCSL
METALFORGE
MICROTECH
MMNL
MOHINI
MOHOTAIND
MOOLEXPORT
MOSERBAER
MOTOROL
MRO
MURLIIND
MVL
NAGAROIL
NAMASTEXP
NARMADASUG
NATNLSTEEL
NCOPPER
NEO
NEPCAGRO
NEPCMICON
NEPCTEX
NET4
NETVISTAIT
NICCO
NIRMA
NITESHE
NOESISIND
NOVAELEMAG
NOVAIRNSTL
NOVASTEEL
NOVOPANIND
NRC
NUCHEM
OCCL
OISL
OMNITECH
ORBITCORP
ORGINFO
PADMALAYAT
PAEL
PALPEUGEOT
PANCHMACEM
PANORAMUNI
PARABDRUGS
PARAL
PARAPRINT
PAREKHPLAT
PASUPATI
PATHEJAFOR
PATNI
PATSPINLTD
PATWIDECOM
PBAINFRA
PENTAGOLD
PEPL
PETRONENGG
PIRGLASS
PLETHICO
POCHIRAJU
POLARIND
POLARIS
PONNIORISA
POWERFUL
PRABHAT
PRADIP
PRASGLOFIN
PRITHVI
PROVOGE
PRUDENTCM
PSL
PSTL
PUSHPREALM
QVC
RAJASPETRO
RAJINPIPE
RAJINSTEEL
RAMGOPOLY
RAMSARUP
RASOYPR
RBN
REIAGROLTD
REISIXTEN
RELCAPITAL
RELMEDIA
RINKIPETRO
ROHITFERRO
ROLTA
ROOFITIND
RUPANGIMPX
SAITELE
SALORAINTL
SAMTEL
SANDERIND
SANGHIPOLY
SANGHVIFOR
SATHAISPAT
SB&TINTL
SBIHOMEFIN
SCINTSOFT
SERVALL
SGFL
SGJHL
SHARONBIO
SHILPI
SHLAKSHMI
SHPRE
SHREEASHTA
SHRENUJ
SHRIASTER
SHRVINDPPR
SIMPLEX
SINTEX
SIRPAPER
SITASHREE
SIVIND
SKUMARSYNF
SMFINANC
SMPL
SMZSCHEM
SNOWCEMIND
SOFTTECHGR
SOMANICEM
SONISOYA
SOUNDCRAFT
SPANCO
SPECTACLE
SPTL
SQRDSFWARE
SQUAREDBIO
SREIBNPNCD
SREINFRA
SRSLTD
SSINFRA
STEELTUBES
STERLINBIO
STINDIA
SUBCAPCITY
SUDAR
SUJANAUNI
SUNEARTH
SUNILHITEC
SUNSTARLUB
SUPERFORGE
SUPREMETEX
SURAJCROP
SURANACORP
SURANAIND
SURYAJYOTI
SURYAPHARM
SVOGL
SYNCOM
SYNTHCHEM
TAKSHEEL
TARAJEWELS
TCIDEVELOP
TECPRO
TELEDATAGL
TELEDATAIT
TELEMARINE
THIRUSUGAR
TIMBOR
TODAYS
TRICOM
TULIP
TWILITAKA
UBENGG
UBHOLDINGS
USHERAGRO
UTTAMSTL
UTVSOF
UVSL
VARUN
VATSALTD
VATSMUSC
VIBRANTINV
VIJSHAN
VIKASHMET
VIMALOIL
VINCARDS
VIRESCENT
VISESHINFO
VISHALEXPO
VISIONLTD
VITALCOMM
VKSPL
WELLWININD
WINSOMEDJ
WOPOLIN
XEDDTELCOM
ZENGLOBAL
ZENITHCOMP
ZENITHINFO
ZODJRDMKJ
ZYLOG
